ticker,companyshortname,startdatetime,optionable,old_share_worth,share_worth,gmtOffsetMilliSeconds,quoteType
8150.HK,Seamless Green China (Holdings) Ltd,2022-03-18T04:00:00.000Z,False,10,1,0,EQUITY
3638.HK,Huabang Technology Holdings Ltd,2022-03-18T04:00:00.000Z,False,10,1,0,EQUITY
