ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
QBIO,Q BioMed Inc.,2022-02-28T17:38:00.000Z,TAS,,,,EST,-18000000,EQUITY
SESN,"Sesen Bio, Inc.",2022-02-28T08:00:00.000Z,TAS,-0.07,0.04,154.79,EST,-18000000,EQUITY
BRK-B,Berkshire Hathaway Inc.,2022-02-28T06:32:00.000Z,TAS,2.88,,,EST,-18000000,EQUITY
BRK-A,Berkshire Hathaway Inc.,2022-02-28T06:32:00.000Z,TAS,4251.04,,,EST,-18000000,EQUITY
BEAM,Beam Therapeutics Inc.,2022-02-28T06:30:00.000Z,TAS,-1.03,-0.95,7.59,EST,-18000000,EQUITY
CIMDF,CIMB Group Holdings Berhad,2022-02-28T05:14:00.000Z,TAS,0.09,,,EST,-18000000,EQUITY
BMEA,"Biomea Fusion, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.45,-0.51,-14.35,EST,-18000000,EQUITY
CO,Global Cord Blood Corp,2022-02-28T16:16:31.000Z,TAS,,,,EST,-18000000,EQUITY
BLFS,"BioLife Solutions, Inc.",2022-02-28T16:03:00.000Z,TAS,-0.17,-0.37,-118.93,EST,-18000000,EQUITY
CSTL,"Castle Biosciences, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.47,-0.25,46.81,EST,-18000000,EQUITY
STRO,"Sutro Biopharma, Inc.",2022-02-28T16:35:00.000Z,TAS,-0.69,-0.83,-20.46,EST,-18000000,EQUITY
KRYS,"Krystal Biotech, Inc.",2022-02-28T07:00:00.000Z,TAS,-0.73,-0.95,-29.6,EST,-18000000,EQUITY
GRPBF,"Grupo Lala, S.A.B. de C.V.",2022-02-28T17:40:00.000Z,TAS,,-0.95,,EST,-18000000,EQUITY
GRPOF,"Grupo Traxión, S.A.B. de C.V.",2022-02-28T17:10:00.000Z,TAS,0.48,0.28,-42.5,EST,-18000000,EQUITY
FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",2022-02-28T11:39:00.000Z,TAS,1.11,0.91,-18.29,EST,-18000000,EQUITY
PIEJF,Rothschild & Co SCA,2022-02-28T11:24:00.000Z,TAS,,,,EST,-18000000,EQUITY
LINC,Lincoln Educational Services Corporation,2022-02-28T08:00:00.000Z,TAS,0.48,0.73,53.68,EST,-18000000,EQUITY
CSR,Centerspace,2022-02-28T16:30:00.000Z,TAS,-0.45,-0.61,-35.56,EST,-18000000,EQUITY
CVEO,Civeo Corporation,2022-02-28T06:30:00.000Z,TAS,0.0,0.58,11700.0,EST,-18000000,EQUITY
CVGI,"Commercial Vehicle Group, Inc.",2022-02-28T17:25:00.000Z,TAS,0.17,0.13,-22.16,EST,-18000000,EQUITY
ZM,"Zoom Video Communications, Inc.",2022-02-28T16:15:00.000Z,TAS,1.07,1.29,21.13,EST,-18000000,EQUITY
CAPL,CrossAmerica Partners LP,2022-02-28T17:50:00.000Z,TAS,0.21,0.32,52.38,EST,-18000000,EQUITY
SNMSF,Spin Master Corp,2022-02-28T17:05:03.000Z,TAS,,,,EST,-18000000,EQUITY
RIDE,Lordstown Motors Corp.,2022-02-28T08:00:00.000Z,TAS,-0.73,-0.42,42.62,EST,-18000000,EQUITY
SBAC,SBA Communications Corporation,2022-02-28T16:01:00.000Z,TAS,0.69,0.44,-35.95,EST,-18000000,EQUITY
GPOR,Gulfport Energy Corporation,2022-02-28T17:12:00.000Z,TAS,5.03,,,EST,-18000000,EQUITY
CSYJF,CSE Global Limited,2022-02-28T06:13:00.000Z,TAS,,,,EST,-18000000,EQUITY
INEOF,INEO Tech Corp.,2022-02-28T07:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
PRTY,Party City Holdco Inc.,2022-02-28T06:55:00.000Z,TAS,0.41,0.4,-1.23,EST,-18000000,EQUITY
STRL,"Sterling Construction Company, Inc.",2022-02-28T16:30:00.000Z,TAS,0.37,0.47,27.03,EST,-18000000,EQUITY
MFRVF,"Minera Frisco, S.A.B. de C.V.",2022-02-28T16:28:00.000Z,TAS,-0.07,-0.07,0.0,EST,-18000000,EQUITY
FSK,FS KKR Capital Corp.,2022-02-28T16:15:00.000Z,TAS,0.61,,,EST,-18000000,EQUITY
HNI,HNI Corporation,2022-02-28T07:30:00.000Z,TAS,0.41,,,EST,-18000000,EQUITY
DMEHF,Desert Mountain Energy Corp.,2022-02-28T16:49:00.000Z,TAS,,,,EST,-18000000,EQUITY
DVAX,Dynavax Technologies Corporation,2022-02-28T16:02:00.000Z,TAS,0.64,0.55,-14.06,EST,-18000000,EQUITY
NGENF,NervGen Pharma Corp.,2022-02-28T08:06:00.000Z,TAS,-0.09,-0.09,0.0,EST,-18000000,EQUITY
HHC,The Howard Hughes Corporation,2022-02-28T16:54:00.000Z,TAS,1.63,1.03,-36.69,EST,-18000000,EQUITY
